Time,Voltage 1,Voltage 2,Voltage 3, Voltage 4,Resistance 1,Resistance 2,Resistance 3,Resistance 4,
148,0.57,1.8,1.71,2.91,69527.47253,98640,88403.77358,417846.1538,
149,0.57,1.8,1.71,2.9,69527.47253,98640,88403.77358,406000,
150,0.57,1.81,1.72,2.89,69527.47253,99853.69128,89483.5443,394731.7073,
151,0.57,1.79,1.73,2.91,69527.47253,97442.38411,90577.07006,417846.1538,
152,0.57,1.8,1.71,2.91,69527.47253,98640,88403.77358,417846.1538,
153,0.58,1.81,1.73,2.91,71007.35294,99853.69128,90577.07006,417846.1538,
154,0.58,1.81,1.71,2.91,71007.35294,99853.69128,88403.77358,417846.1538,
155,0.57,1.82,1.71,2.9,69527.47253,101083.7838,88403.77358,406000,
156,0.56,1.81,1.72,2.91,68058.39416,99853.69128,89483.5443,417846.1538,
157,0.56,1.8,1.73,2.9,68058.39416,98640,90577.07006,406000,
158,0.57,1.81,1.71,2.9,69527.47253,99853.69128,88403.77358,406000,
159,0.56,1.8,1.73,2.91,68058.39416,98640,90577.07006,417846.1538,
160,0.58,1.81,1.73,2.91,71007.35294,99853.69128,90577.07006,417846.1538,
161,0.57,1.8,1.72,2.89,69527.47253,98640,89483.5443,394731.7073,
162,0.57,1.81,1.73,2.91,69527.47253,99853.69128,90577.07006,417846.1538,
163,0.57,1.81,1.72,2.9,69527.47253,99853.69128,89483.5443,406000,
164,0.58,1.81,1.73,2.94,71007.35294,99853.69128,90577.07006,457333.3333,
165,0.58,1.81,1.73,2.94,71007.35294,99853.69128,90577.07006,457333.3333,
166,0.57,1.81,1.73,2.93,69527.47253,99853.69128,90577.07006,443459.4595,
167,0.57,1.82,1.72,2.94,69527.47253,101083.7838,89483.5443,457333.3333,
168,0.57,1.83,1.72,2.94,69527.47253,102330.6122,89483.5443,457333.3333,
169,0.57,1.81,1.73,2.93,69527.47253,99853.69128,90577.07006,443459.4595,
170,0.57,1.81,1.73,2.93,69527.47253,99853.69128,90577.07006,443459.4595,
171,0.57,1.81,1.72,2.94,69527.47253,99853.69128,89483.5443,457333.3333,
172,0.57,1.81,1.72,2.94,69527.47253,99853.69128,89483.5443,457333.3333,
173,0.58,1.82,1.72,2.93,71007.35294,101083.7838,89483.5443,443459.4595,
174,0.58,1.82,1.72,2.93,71007.35294,101083.7838,89483.5443,443459.4595,
175,0.58,1.81,1.72,2.94,71007.35294,99853.69128,89483.5443,457333.3333,
176,0.58,1.81,1.71,2.94,71007.35294,99853.69128,88403.77358,457333.3333,
